Test,Run,Clock Cycles 
4,10,12.37 
4,11,9.19 
4,12,10.19 
4,13,9.80 
4,14,8.36 
4,15,8.39 
4,16,8.10 
4,17,10.62 
4,18,7.55 
4,19,7.89 
4,20,8.15 
4,21,7.78 
4,22,10.14 
4,23,28.99 
4,24,11.57 
4,25,9.10 
4,26,8.94 
4,27,12.73 
4,28,16.13 
4,29,13.13 
4,30,7.70 
4,31,7.42 
4,32,7.17 
4,33,14.32 
4,34,9.55 
4,35,17.36 
4,36,13.65 
4,37,9.29 
4,38,9.99 
4,39,17.01 
4,40,8.05 
4,41,31.82 
4,42,13.34 
4,43,10.98 
4,44,52.26 
4,45,23.84 
4,46,14.54 
4,47,8.18 
4,48,10.14 
4,49,9.88 
4,50,8.88 
4,51,7.51 
4,52,19.73 
4,53,13.18 
4,54,10.19 
4,55,14.20 
4,56,10.07 
4,57,14.33 
4,58,8.62 
4,59,9.63 
4,60,9.12 
4,61,7.26 
4,62,7.33 
4,63,7.14 
4,64,10.42 
4,65,11.40 
4,66,14.93 
4,67,7.37 
4,68,56.88 
4,69,12.72 
4,70,11.54 
4,71,40.66 
4,72,12.36 
4,73,9.89 
4,74,10.26 
4,75,7.09 
4,76,9.88 
4,77,7.18 
4,78,11.06 
4,79,13.24 
4,80,13.74 
4,81,8.37 
4,82,10.17 
4,83,47.45 
4,84,7.80 
4,85,9.60 
4,86,9.23 
4,87,13.80 
4,88,9.55 
4,89,14.41 
4,90,9.20 
4,91,13.00 
4,92,9.60 
4,93,14.43 
4,94,11.87 
4,95,12.95 
4,96,14.33 
4,97,8.07 
4,98,15.36 
4,99,11.88 
4,100,13.32 
5,1,10.33 
5,2,11.65 
5,3,11.63 
5,4,10.12 
5,5,8.22 
5,6,8.12 
5,7,10.41 
5,8,7.31 
5,9,12.68 
5,10,14.01 
5,11,10.77 
5,12,10.13 
5,13,8.74 
5,14,13.97 
5,15,55.98 
5,16,11.15 
5,17,11.85 
5,18,13.34 
5,19,8.86 
5,20,9.56 
5,21,8.21 
5,22,18.68 
5,23,11.60 
5,24,11.65 
5,25,11.13 
5,26,7.59 
5,27,7.36 
5,28,9.66 
5,29,21.49 
5,30,11.34 
5,31,10.73 
5,32,14.74 
5,33,8.60 
5,34,12.67 
5,35,7.64 
5,36,11.17 
5,37,39.98 
5,38,10.38 
5,39,12.20 
5,40,8.05 
5,41,8.45 
5,42,11.15 
5,43,7.49 
5,44,7.70 
5,45,9.03 
5,46,10.80 
5,47,21.39 
5,48,34.75 
5,49,7.97 
5,50,13.31 
5,51,8.21 
5,52,8.74 
5,53,11.38 
5,54,11.36 
5,55,12.65 
5,56,20.38 
5,57,8.21 
5,58,13.31 
5,59,10.33 
5,60,34.94 
5,61,6.50 
5,62,12.93 
5,63,6.68 
5,64,13.31 
5,65,29.05 
5,66,8.88 
5,67,8.82 
5,68,15.57 
5,69,8.46 
5,70,8.23 
5,71,10.17 
5,72,11.20 
5,73,12.67 
5,74,7.53 
5,75,8.18 
5,76,8.22 
5,77,8.15 
5,78,15.55 
5,79,46.61 
5,80,7.72 
5,81,7.58 
5,82,7.88 
5,83,35.60 
5,84,9.63 
5,85,21.50 
5,86,8.25 
5,87,8.06 
5,88,15.54 
5,89,10.72 
5,90,7.78 
5,91,9.29 
5,92,9.29 
5,93,8.87 
5,94,7.89 
5,95,10.09 
5,96,9.54 
5,97,10.12 
5,98,30.90 
5,99,7.72 
5,100,10.93 
