Test,Run,Clock Cycles 
1,1,120.00 
1,2,150.00 
1,3,122.25 
1,4,141.00 
1,5,124.50 
1,6,139.50 
1,7,183.50 
1,8,132.75 
1,9,184.00 
1,10,194.00 
1,11,172.00 
1,12,191.50 
1,13,154.50 
1,14,165.75 
1,15,144.75 
1,16,259.50 
1,17,210.75 
1,18,322.50 
1,19,176.75 
1,20,223.50 
1,21,234.50 
1,22,145.25 
1,23,219.50 
1,24,139.25 
1,25,118.00 
1,26,163.25 
1,27,150.00 
1,28,157.50 
1,29,153.25 
1,30,254.00 
1,31,133.50 
1,32,144.50 
1,33,132.50 
1,34,173.00 
1,35,152.50 
1,36,172.75 
1,37,165.75 
1,38,174.25 
1,39,155.00 
1,40,149.00 
1,41,134.75 
1,42,147.25 
1,43,157.75 
1,44,136.50 
1,45,126.75 
1,46,139.25 
1,47,141.75 
1,48,190.75 
1,49,138.75 
1,50,177.75 
1,51,186.50 
1,52,187.00 
1,53,166.50 
1,54,147.50 
1,55,134.50 
1,56,180.25 
1,57,352.75 
1,58,172.25 
1,59,176.00 
1,60,137.25 
1,61,139.25 
1,62,146.75 
1,63,404.75 
1,64,124.75 
1,65,155.00 
1,66,128.50 
1,67,135.25 
1,68,172.50 
1,69,174.50 
1,70,158.25 
1,71,179.25 
1,72,152.25 
1,73,152.25 
1,74,165.50 
1,75,195.75 
1,76,147.00 
1,77,153.75 
1,78,199.00 
1,79,142.50 
1,80,159.50 
1,81,155.25 
1,82,218.75 
1,83,223.75 
1,84,205.25 
1,85,174.00 
1,86,147.25 
1,87,186.75 
1,88,141.50 
1,89,162.25 
1,90,158.25 
1,91,185.00 
1,92,521.50 
1,93,178.00 
1,94,169.75 
1,95,206.25 
1,96,180.00 
1,97,148.25 
1,98,143.25 
1,99,187.75 
1,100,161.50 
2,1,15.03 
2,2,14.75 
2,3,15.06 
2,4,14.22 
2,5,12.91 
2,6,13.88 
2,7,14.06 
2,8,14.41 
2,9,12.97 
2,10,14.47 
2,11,13.50 
2,12,14.91 
2,13,13.72 
2,14,13.28 
2,15,14.16 
2,16,15.94 
2,17,15.69 
2,18,14.03 
2,19,14.66 
2,20,14.47 
2,21,13.66 
2,22,12.44 
2,23,13.75 
2,24,14.88 
2,25,15.03 
2,26,16.28 
2,27,15.41 
2,28,13.34 
2,29,14.75 
2,30,16.16 
2,31,14.34 
2,32,15.00 
2,33,20.59 
2,34,14.78 
